Representative,District
"Agard, Melissa",16
"Ballweg, Joan",14
"Bradley, Julian",28
"Cabral-Guevara, Rachael",19
"Carpenter, Tim",3
"Cowles, Robert",2
"Felzkowski, Mary",12
"Feyen, Dan",18
"Hesselbein, Dianne",27
"Hutton, Rob",5
"Jacque, André",1
"Jagler, John",13
"James, Jesse",23
"Johnson, LaTonya",6
"Kapenga, Chris",33
"Knodl, Daniel",8
"Larson, Chris",7
"LeMahieu, Devin",9
"Marklein, Howard",17
"Nass, Steve",11
"Pfaff, Brad",32
"Quinn, Romaine",25
"Roys, Kelda",26
"Smith, Jeff",31
"Spreitzer, Mark",15
"Stafsholt, Rob",10
"Stroebel, Duey",20
"Taylor, Lena",4
"Testin, Patrick",24
"Tomczyk, Cory",29
"Wanggaard, Van",21
"Wimberger, Eric",30
"Wirch, Robert",22
